name_of_city,state_name,population,graduates
Jamnagar,GUJARAT,529308,52049
Jamshedpur,JHARKHAND,629659,110962
Jamuria,WEST BENGAL,144971,5436
Jaunpur,UTTAR PRADESH,168128,24871
Jehanabad,BIHAR,102456,8901
Jetpur Navagadh,GUJARAT,118550,8846
Jhansi,UTTAR PRADESH,507293,78757
Jhunjhunun,RAJASTHAN,118966,10403
Jind,HARYANA,166225,21508
Jodhpur,RAJASTHAN,1033918,140922
Junagadh,GUJARAT,320250,36910
Kadapa,ANDHRA PRADESH,341823,41997
Kaithal,HARYANA,144633,18095
Kakinada,ANDHRA PRADESH,312255,47823
Kalol,GUJARAT,112126,14208
Kalyani,WEST BENGAL,100620,17457
Kamarhati,WEST BENGAL,336579,50367
Kancheepuram,TAMIL NADU,164265,18625
Kanchrapara,WEST BENGAL,122181,13808
Kanpur,UTTAR PRADESH,2767031,459611
Kanpur City,UTTAR PRADESH,108035,12635
Karaikkudi,TAMIL NADU,106793,11778
Karawal Nagar,NCT OF DELHI,224666,14478
Karimnagar,ANDHRA PRADESH,260899,52034
Karnal,HARYANA,286974,52911
Kasganj,UTTAR PRADESH,101241,13306
Kashipur,UTTARAKHAND,121610,20036
Katihar,BIHAR,225982,24259
Khammam,ANDHRA PRADESH,184252,29400
Khandwa,MADHYA PRADESH,200681,24431
Khanna,PUNJAB,128130,16767
Kharagpur,WEST BENGAL,206923,24881
Khardaha,WEST BENGAL,111130,21522
Khargone,MADHYA PRADESH,106452,12584
Khora,UTTAR PRADESH,189410,10482
Khurja,UTTAR PRADESH,111089,10529
Kirari Suleman Nagar,NCT OF DELHI,282598,10621
Kishanganj,BIHAR,107076,7847
Kishangarh,RAJASTHAN,155019,13054
Kochi,KERALA,601574,115773
Kolar,KARNATAKA,138553,11508
Kolhapur,MAHARASHTRA,549283,92443
Kolkata,WEST BENGAL,4486679,818476
Kollam,KERALA,349033,39521
Korba,CHHATTISGARH,363210,38726
Kota,RAJASTHAN,1001365,128652
Kozhikode,KERALA,432097,61225
Krishnanagar,WEST BENGAL,152203,21326
Kulti,WEST BENGAL,313977,19371
Kumbakonam,TAMIL NADU,140113,16862
Kurichi,TAMIL NADU,125800,13160
Kurnool,ANDHRA PRADESH,424920,60589
Lakhimpur,UTTAR PRADESH,152010,25967
Lalitpur,UTTAR PRADESH,133041,17013
Latur,MAHARASHTRA,382754,42355
Loni,UTTAR PRADESH,512296,15572
Lucknow,UTTAR PRADESH,2815601,596990
Ludhiana,PUNJAB,1613878,211267
Machilipatnam,ANDHRA PRADESH,170008,19872
Madanapalle,ANDHRA PRADESH,135669,16385
Madavaram,TAMIL NADU,118525,18525
Madhyamgram,WEST BENGAL,198964,27584
Madurai,TAMIL NADU,1016885,129719
Mahbubnagar,ANDHRA PRADESH,157902,30286
Mahesana,GUJARAT,184133,27191
Maheshtala,WEST BENGAL,449423,33247
Mainpuri,UTTAR PRADESH,117327,18745
Malegaon,MAHARASHTRA,471006,22830
Malerkotla,PUNJAB,135330,9767
Mandoli,NCT OF DELHI,120345,7274
Mandsaur,MADHYA PRADESH,141468,18225
Mandya,KARNATAKA,137735,16203
Mangalore,KARNATAKA,484785,78097
Mango,JHARKHAND,224002,28682
Mathura,UTTAR PRADESH,349336,44357
Maunath Bhanjan,UTTAR PRADESH,279060,20775
Medinipur,WEST BENGAL,169127,28498
Meerut,UTTAR PRADESH,1309023,174025
Mira Bhayander,MAHARASHTRA,814655,118506
Miryalaguda,ANDHRA PRADESH,103855,13377
Mirzapur-cum-Vindhyachal,UTTAR PRADESH,233691,25846
Modinagar,UTTAR PRADESH,130161,24695
Moga,PUNJAB,150432,17762
Moradabad,UTTAR PRADESH,889810,91999
Morena,MADHYA PRADESH,200506,21351
Morvi,GUJARAT,188278,15195
Motihari,BIHAR,125183,19550
Mughalsarai,UTTAR PRADESH,110110,11758
